Source,Target,Year,Book,Lot
Brinley Nicholson,W.A. White,1893,156,
Rev. John Mitford,Mark P. Robinson,1860,157,2640
Fountaine,Huth,1902,152,189
Huntington,Clawson,1918,159,88
Heber,Britwell,1834,160,332
Farmer,Heber,1798,160,6443
Chew,Huntington,,150,
Bridgewater,Huntington,,159,
Halliwell Phillipps,Britwell,1889,161,248
Britwell,W.A. White,1921,161,26
Huntington,English Literature from London,,150,
Britwell,Clawson,1922,160,130
Corser,Huth,1869,151,77
Gaisford,J.T. Adams,1890,153,1042
Britwell,Gaisford,1854,153,161
Evans,Frederick Perkins,1825,901,
Bridgewater,Huntington,,903,
Colin Campbell,Hagen,,911 D,
Hoe,Hagen,,911 K,
Sotheby’s,Henkels’s Shakespeare sale,1914,914,
Halliwell Phillipps,Sotheby’s,1889,914,903
M.J.Perry,Hagen,,911 M,
Charles Campbell,M.J.Perry,,911 M,
Huth,Jones,1912,913,1904
Sotheby’s,Sotheby’s,1911,914,
H.J.B.Swete,Hagen,,911 J,
Devonshire,Huntington,,902,
Jones,Clawson,1919,903,1409
Huntington,Jones,,903,
Sotheby’s,Hagen,1904,910,880
Frederick Perkins,Britwell,1889,901,1710
Thomas Barret of Lee,Colin Campbell,,911 D,
Lefferts,Hagen,1902,325,461
Lefferts,Hagen,1902,327,464
Lefferts,Hagen,1902,316,448
Lefferts,Hagen,1902,319,450
Halliwell Phillipps,Hagen,1889,329,875
Devonshire,Huntington,,323,
Kemble,Devonshire,1798,323,
Halsey,Huntington,,324,
Britwell,Clawson,1921,246,45
Octavius G. Gilchrist,Ashburnham,1824,248,
Hibbert,Britwell,1829,246,6696
E.M.Cox,Clawson,1920,245,2586
Wiper,Forman,1891,253,92
Frederick Perkins,Huth,1889,251,541
Hoe,Halsey,1911,248,
Philip Lord Hardwicke,Shakespeare Library,,252,
Waldron,Philip Lord Hardwicke,,252,
Ashburnham,Hoe,1897,248,1259
Bliss,Huth,1858,24,109
Hoe,Huntington,1912,32,112
Huntington,English Literature from London,,32,
Huth,Clawson,1911,24,392
Crossleyt,Pearson,,938,
Pearson,Jones,1916,938,277
Heber,Crossleyt,1834,938,2467
George Smith,Huth,1867,937,7234
Bindley,Hibbert,1819,942,1132
Steevens,B.A.P.,1800,943,1078
Heber,Britwell,,941,2357
Lefferts,Hagen,1902,930,1236
Heber,Britwell,1834,943,2364
Chalmers,Corser,1842,944,567
Hibbert,Daniel,1829,942,7427
Bowle,Chalmers,1790,944,10004
Corser,Huth,1870,944,742
Bright,Heber,1845,938,5239
Sykes,Heber,1824,941,360
B.A.P.,Heber,1815,943,686
Daniel,Huth,1864,942,1527
Bridgewater,Huntington,,934,
Daniel,Huth,1864,940,1529
Heber,Britwell,1836,280,376
Kemble,Devonshire,1798,282,
John Duerdin,H.B.Forman,1884,275,195
Huntington,Jones,1917,276,147
Devonshire,Huntington,,281,
Britwell,Clawson,1922,280,224
Locker,Huntington,,278,
Huntington,Jones,1917,278,144
Huntington,Clawson,1918,274,208
Titef,Huth,1874,274,871
Hoe,Huntington,1912,288,870
Huth,Huntington,1912,274,2076
Hoe,Huntington,1912,276,854
Kemble,Devonshire,1814,281,
Devonshire,Huntington,,282,
Locker,Jones,,283,
Mitford,Locker,,279,
Lefferts,Hagen,1902,176,217
Jones,Clawson,1923,167,40
Lefferts,Hagen,,178,
Heber,Britwell,1834,166,334
Lefferts,Hagen,1902,168,210
