Source,Target
precepts,CULNn412
advice,CULNn412
alphabetic poems,NottsULMiDc7
advice,NottsULMiDc7
advice,NLS18721
advice,CamTCC1450
flatterers,CamTCC1450
speech,CamTCC1450
advice,BodAsh61
advice,BodRawA389
advice,CULFf238
advice,CamMagPep1584
advice,BLAdd10053
advice,BLAdd33995
advice,BLRoy17Bxvii
meditations,BodAsh61
meditations,BodRawA389
meditations,CULFf238
meditations,CamMagPep1584
meditations,BLAdd10053
meditations,BLAdd33995
meditations,BLRoy17Bxvii
advice,Bod48
advice,Bod446
advice,BodEngPoeta1
advice,BodEngPoetd5
advice,BodGreaves43
advice,BodHat18
advice,BodHat19
advice,BodLye28
advice,BodRawC884
advice,BodRawC890
advice,BodRawQb4
advice,CULAdd2823
advice,CULFf49
advice,CULGg17
advice,CULGg114
advice,CULIi136
advice,CULLl18
advice,CamFitzMc130
advice,CamGon160
advice,CamTCC593
advice,CamTCC603
advice,BLAdd8151
advice,BLAdd22283
advice,BLAdd22558
advice,BLAdd33995
advice,BLCottTibEVII
advice,BLHar435
advice,BLHar2260
advice,BLHar6718
advice,BLRoy17Cviii
advice,BLSl1785
advice,BLSto951
advice,NLWPen395
advice,EDULaiii318
advice,GULHun89
advice,LiverpoolULF49
advice,MarlVicar
advice,NottsULMiLm9
advice,StaffordRODW1734
advice,PULTayM11
advice,TCD76
advice,TCD423
advice,TokyoTak15
advice,Bein20082479
advice,BodRawD328
speech,BodRawD328
advice,BodLauMis581
heaven,CamStJohn195
hell,CamStJohn195
advice,CamStJohn195
advice,OxfBal354
advice,TCD212
carols,OxfBal354
carols,TCD212
women,BodEngPoete1
women,BLAdd31922
women,BLHar1317
love,BodEngPoete1
love,BLAdd31922
love,BLHar1317
laments,BodEngPoete1
laments,BLAdd31922
laments,BLHar1317
advice,BodEngPoete1
advice,BLAdd31922
advice,BLHar1317
lovedays,CULDd11
advice,CULDd11
alphabetic poems,OxfCCCGlanv
advice,OxfCCCGlanv
manners,OxfCCCGlanv
advice,Salisb103
advice,OxfBal354
transitoriness,OxfBal354
birds,OxfBal354
advice,OxfBal354
clergy,OxfBal354
advice,BodRawPoe32
peace,BodRawPoe32
advice,NLS18721
virtues,NLS18721
humility,NLS18721
advice,OxfBal354
advice,Banna
advice,DULCosViii9
death,DULCosViii9
mortality,DULCosViii9
advice,BLHar2406
advice,CovAcc3251
precepts,CovAcc3251
sermons,CamCCC423
advice,CamCCC423
Saint Bernard,CamCCC423
sins,CamCCC423
advice,CamTCC323
aphorisms,CamTCC323
crucifixion,CamTCC323
Christ,CamTCC323
advice,CamStJohn135
oaths,CamStJohn135
advice,BodEngPoete1
boasting,BodEngPoete1
advice,OxfBal354
proverbs,OxfBal354
translations,OxfBal354
advice,BLAdd37049
Job,BodAsh343IX
Job,BodEngPoeta1
Job,CamTCC1450
