Source,Target,Label,Weight
Christ,illustrations,DIMEV 1336;DIMEV 5425;DIMEV 2858;DIMEV 3984;DIMEV 5314,5
Christ,indulgences,DIMEV 5196,1
Christ,instruction,DIMEV 2908,1
Christ,introductions,DIMEV 3857,1
Christ,laments,DIMEV 2170;DIMEV 6668,2
Christ,love,DIMEV 71;DIMEV 2835,2
Christ,meditations,DIMEV 1842,1
Christ,mercy,DIMEV 4325,1
Christ,miracles,DIMEV 541,1
Christ,mottoes,DIMEV 5585;DIMEV 2843,2
Christ,old age,DIMEV 385,1
Christ,paradoxes,DIMEV 1830,1
Christ,paraphrases,DIMEV 6365;DIMEV 1005,2
Christ,penance,DIMEV 5079,1
Christ,penitence,DIMEV 1631,1
Christ,prayers,DIMEV 2838;DIMEV 3854;DIMEV 2821;DIMEV 1024;DIMEV 2890;DIMEV 430;DIMEV 2879;DIMEV 5493;DIMEV 6626;DIMEV 3209;DIMEV 5071;DIMEV 2906;DIMEV 2818;DIMEV 2913,14
Christ,prison/prisoners,DIMEV 4419,1
Christ,prologues,DIMEV 993;DIMEV 4196,2
Christ,prophecies,DIMEV 192,1
Christ,redemption,DIMEV 4936,1
Christ,repentance,DIMEV 3863,1
Christ,roundels,DIMEV 2902,1
Christ,sacraments,DIMEV 744,1
Christ,scripture,DIMEV 6233,1
Christ,sermon texts,DIMEV 550,1
Christ,sermons,DIMEV 566;DIMEV 1870;DIMEV 1395;DIMEV 450;DIMEV 2188;DIMEV 5292;DIMEV 5935;DIMEV 3291;DIMEV 3045;DIMEV 4433;DIMEV 2751;DIMEV 5553;DIMEV 880;DIMEV 3982;DIMEV 5025;DIMEV 2170;DIMEV 1510;DIMEV 2388;DIMEV 2342;DIMEV 2261;DIMEV 1374;DIMEV 2401;DIMEV 5166;DIMEV 5323;DIMEV 2507;DIMEV 148;DIMEV 4491;DIMEV 3205,28
Christ,seven deadly sins,DIMEV 3945,1
Christ,sins,DIMEV 5493;DIMEV 2836;DIMEV 5291;DIMEV 6744,5
Christ,songs,DIMEV 4855;DIMEV 2188;DIMEV 5734,3
Christ,soul,DIMEV 1406,1
Christ,thanksgiving,DIMEV 3198,1
Christ,thieves,DIMEV 1622,1
Christ,transitoriness,DIMEV 6794,1
Christ,translations,DIMEV 805;DIMEV 3792;DIMEV 6135;DIMEV 5928;DIMEV 6288;DIMEV 3981;DIMEV 5026;DIMEV 6110;DIMEV 6108;DIMEV 1874;DIMEV 860;DIMEV 2605;DIMEV 996;DIMEV 3275,14
Christ,treatises,DIMEV 3275,1
Christina,saints’ lives,DIMEV 6531;DIMEV 5295,2
Christine,Barbara,DIMEV 863,1
Christmastide,Christ,DIMEV 415,1
Christmastide,Easter,DIMEV 4245,1
Christmastide,Gawain,DIMEV 4920,1
Christmastide,beheading game,DIMEV 4920,1
Christmastide,carols,DIMEV 1128;DIMEV 3059;DIMEV 1643,3
Christmastide,romances,DIMEV 4920,1
Christmastide,schoolboys,DIMEV 558,1
Christmastide,songs,DIMEV 5804,1
Christmastide,women,DIMEV 635,1
Christopher,Barbara,DIMEV 863,1
Christopher,Blasius,DIMEV 863,1
Christopher,Christine,DIMEV 863,1
Christopher,Egidius,DIMEV 863,1
Christopher,George,DIMEV 863,1
Christopher,Giles,DIMEV 863,1
Christopher,Katherine of Alexandria,DIMEV 863,1
Christopher,Margaret,DIMEV 863,1
Christopher,Martha,DIMEV 863,1
Christopher,illustrations,DIMEV 6225,1
Christopher,inscriptions,DIMEV 6225,1
Christopher,legends,DIMEV 5596,1
Christopher,saints’ lives,DIMEV 1304,1
Church,feasts,DIMEV 1095,1
Church,sermons,DIMEV 2048,1
Church,tithes,DIMEV 618,1
Clark,skeltonics,DIMEV 5772,1
Clement,saints’ lives,DIMEV 6032,1
Cobham,historical poems,DIMEV 3580,1
Conception,instruction,DIMEV 3092,1
Cornysshe,Nature,DIMEV 4381,1
Corpus Christi,Eucharist,DIMEV 5329,1
Corpus Christi,miracles,DIMEV 6825,1
Corpus Christi,transubstantiation,DIMEV 5329,1
Cosmas and Damian,saints’ lives,DIMEV 4174,1
Courtenay,Lollardy,DIMEV 5434,1
Courtly Love,Fortune,DIMEV 6530,1
Courtly Love,May,DIMEV 6305,1
Courtly Love,allegories,DIMEV 6305,1
Courtly Love,allegory,DIMEV 3403,1
Courtly Love,dream poems,DIMEV 6305,1
Courtly Love,envoys,DIMEV 6305,1
Coventry,Margaret,DIMEV 4416,1
Coventry,historical verse,DIMEV 5233,1
Coventry,political verse,DIMEV 760,1
Crecy,historical poems,DIMEV 3467,1
Creed,Cross,DIMEV 2914,1
Creed,Lord’s Prayer,DIMEV 2914,1
Creed,faith,DIMEV 1084,1
Creed,heaven,DIMEV 1084,1
Creed,penitence,DIMEV 1624,1
Creed,sin,DIMEV 1624,1
Creed,songs,DIMEV 1084,1
Crispin and Crispinian,saints’ lives,DIMEV 3574,1
Cross,Christ,DIMEV 945,1
Cross,Lord’s Prayer,DIMEV 2914,1
Cross,composite texts,DIMEV 5337,1
Cross,debates,DIMEV 4319,1
Cross,hymns,DIMEV 5032,1
Cross,paraphrases,DIMEV 5032,1
Cross,tales,DIMEV 846,1
Crysanthus and Daria,saints’ lives,DIMEV 4385,1
Cupid,Occasional poems,DIMEV 1480,1
Cupid,Venus,DIMEV 5298,1
Cupid,envoys,DIMEV 1480,1
Cupid,letters,DIMEV 5298,1
Cupid,love lyrics,DIMEV 1480,1
Cupid,lovers,DIMEV 4111,1
Cupiditas,death,DIMEV 2502,1
Cuthbert,inscriptions,DIMEV 1969,1
Cuthbert,saints’ lives,DIMEV 4578,1
Dalusse,inscriptions,DIMEV 576,1
Denis,Barbara,DIMEV 863,1
Denis,Blasius,DIMEV 863,1
Denis,Christine,DIMEV 863,1
Denis,Christopher,DIMEV 863,1
Denis,Egidius,DIMEV 863,1
Denis,George,DIMEV 863,1
Denis,Giles,DIMEV 863,1
Denis,Katherine of Alexandria,DIMEV 863,1
Denis,Margaret,DIMEV 863,1
Denis,Martha,DIMEV 863,1
Denis,Virgin Mary,DIMEV 247,1
Denis,chronicles,DIMEV 247,1
Despencer,translations,DIMEV 6742,1
Despencer,virelais,DIMEV 2147,1
Diana,chronicles,DIMEV 963;DIMEV 895,2
Diana,love,DIMEV 5964,1
Dido and Aeneas,envoys,DIMEV 1332,1
Doomsday,carols,DIMEV 702;DIMEV 6877;DIMEV 32,3
Doomsday,death,DIMEV 6810,1
Doomsday,dialogues,DIMEV 6339,1
Doomsday,dream visions,DIMEV 6408,1
Doomsday,judgement day,DIMEV 5487,1
Doomsday,prophecies,DIMEV 6444,1
Doomsday,sermons,DIMEV 4125,1
Dorothy,saints’ lives,DIMEV 6287,1
Drury,Chichele,DIMEV 5047,1
Drury,Woode,DIMEV 5047,1
Dunbar,epitaphs,DIMEV 1987,1
Dunbar,historical poems,DIMEV 5283,1
Dunbar,occasional verse,DIMEV 5283,1
Dunbar (Scotland),adversity,DIMEV 4243,1
Easter,Christ,DIMEV 1758,1
Easter,Cross,DIMEV 1758,1
Easter,Passion,DIMEV 1758,1
Easter,calendars,DIMEV 240;DIMEV 5417,2
Easter,songs,DIMEV 2067,1
Edinburgh,gossip,DIMEV 494,1
Edmund,Henry VI,DIMEV 3911,1
Edmund,Satan,DIMEV 5183,1
Edmund,allegories,DIMEV 864,1
Edmund,carols,DIMEV 130,1
Edmund,devil,DIMEV 5183,1
Edmund,prayers,DIMEV 3911;DIMEV 1520,2
Edmund,saints’ lives,DIMEV 4992;DIMEV 5422;DIMEV 4587,3
Edmund of Abingdon,miracles,DIMEV 3036,1
Edward,Coventry,DIMEV 6194,1
Edward,laments,DIMEV 3869,1
Edward,occasional verse,DIMEV 6194,1
Edward,pageant verses,DIMEV 6194,1
Edward I,Edward II,DIMEV 3158,1
Edward I,Henry II,DIMEV 3158,1
Edward I,Henry III,DIMEV 3158,1
Edward I,John,DIMEV 3158,1
Edward I,Scots,DIMEV 6261,1
Edward I,chronicles,DIMEV 6261,1
Edward I,elegies,DIMEV 5754;DIMEV 6516,2
Edward II,Charles VII,DIMEV 813,1
Edward II,Henry II,DIMEV 3158,1
Edward II,Henry III,DIMEV 3158,1
Edward II,John,DIMEV 3158;DIMEV 813,2
Edward II,Louis,DIMEV 813,1
Edward II,Richard II,DIMEV 813,1
Edward II,Robert de Vere,DIMEV 813,1
Edward II,Thomas,DIMEV 813,1
Edward II,death,DIMEV 6403,1
Edward II,evils of the time,DIMEV 6677,1
Edward II,historical poems,DIMEV 6677,1
Edward II,political poems,DIMEV 3046,1
Edward II,prophecies,DIMEV 5993,1
Edward II,satire,DIMEV 6677,1
Edward II,simony,DIMEV 6677,1
Edward III,elegies,DIMEV 30,1
Edward III,epitaphs,DIMEV 4159,1
Edward III,historical poems,DIMEV 1615,1
Edward III,tales,DIMEV 1616,1
Edward IV,Edward V,DIMEV 1660,1
Edward IV,May,DIMEV 2539,1
Edward IV,Yorkist lords,DIMEV 5727,1
Edward IV,carols,DIMEV 4886,1
Edward IV,chansons d’aventure,DIMEV 2539,1
Edward IV,chronicles,DIMEV 5973;DIMEV 1857,2
Edward IV,envoys,DIMEV 2573;DIMEV 3563,2
Edward IV,historical poems,DIMEV 1857;DIMEV 6495;DIMEV 3563;DIMEV 6191,4
Edward IV,kings of England,DIMEV 5727,1
Edward IV,laments,DIMEV 3524;DIMEV 2539,2
Edward IV,occasional verse,DIMEV 6191;DIMEV 4886,2
Edward IV,patronage,DIMEV 1660,1
Edward IV,political poems,DIMEV 629;DIMEV 4886,2
Edward IV,prologues,DIMEV 2573,1
Edward IV,translations,DIMEV 2573,1
Edward V,patronage,DIMEV 1660,1
Edward VI,Edward IV,DIMEV 1660,1
Edward VI,Edward V,DIMEV 1660,1
Edward VI,patronage,DIMEV 1660,1
Edward the Confessor,Louis,DIMEV 2046,1
Egidius,Barbara,DIMEV 863,1
Egidius,Christine,DIMEV 863,1
Egidius,George,DIMEV 863,1
Egidius,Giles,DIMEV 863,1
Egidius,Katherine of Alexandria,DIMEV 863,1
Egidius,Margaret,DIMEV 863,1
Egidius,Martha,DIMEV 863,1
Eleanor [Cobham],Fortune,DIMEV 5918,1
Eleanor [Cobham],historical poems,DIMEV 5918,1
Eleanor [Cobham],laments,DIMEV 5918,1
Elizabeth,saints’ lives,DIMEV 5539,1
Elizabeth of York,laments,DIMEV 4118,1
England,chronicles,DIMEV 1192,1
England,mnemonics,DIMEV 5440,1
England,political poems,DIMEV 2466,1
England,utilitarian instructions,DIMEV 5440,1
Epiphany,New Year,DIMEV 392,1
Epiphany,carols,DIMEV 3,1
Epiphany,sermon texts,DIMEV 1775;DIMEV 5511,2
Esther,Old Testament,DIMEV 3406,1
Ethelbert,Virgin Mary,DIMEV 3540,1
Etheldreda,saints’ lives,DIMEV 4815;DIMEV 4591,2
Eucharist,Blessed Sacrament,DIMEV 5703,1
Eucharist,Christ,DIMEV 744,1
Eucharist,carols,DIMEV 3379;DIMEV 5665,2
Eucharist,prayers,DIMEV 6197;DIMEV 5703,2
Eucharist,sacraments,DIMEV 744,1
Eucharist,sermons,DIMEV 5703,1
Eugenia,saints’ lives,DIMEV 533,1
Euphrosine,saints’ lives,DIMEV 2467,1
Eustace,legends,DIMEV 62;DIMEV 5594,2
Eustace,saints’ lives,DIMEV 374;DIMEV 563,2
Evarist,saints’ lives,DIMEV 1209,1
Eve,Virgin Mary,DIMEV 5293;DIMEV 1385,2
Eve,mystery plays,DIMEV 1177,1
Fame,Fortune,DIMEV 1620,1
Fame,dreams,DIMEV 1620,1
Fame,speech,DIMEV 1620,1
FitzSimons,Ireland,DIMEV 4076,1
FitzSimons,Simnel,DIMEV 4076,1
Flanders,Cupiditas,DIMEV 2502,1
Flanders,death,DIMEV 2502,1
Flemings,chronicles,DIMEV 6440,1
Flemings,historical poems,DIMEV 4211,1
