Source,Target,Label
alchemy,John Lydgate,DIMEV 1544
alchemy,Benedict Burgh,DIMEV 1544
alchemy,George Ripley,DIMEV 3153
alchemy,Arnoldus de Villa Nova,DIMEV 3759
philosopher’s stone,Arnoldus de Villa Nova,DIMEV 3759
alchemy,Albertus Magnus,DIMEV 4141
alchemy,Richard Carpenter,DIMEV 4210
philosopher’s stone,Richard Carpenter,DIMEV 4210
illustrations,Richard Carpenter,DIMEV 4210
alchemy,William Bolosse,DIMEV 4503
alchemy,Pearce the Black Monk,DIMEV 5095
alchemy,Pearce the Black Monk,DIMEV 5113
alchemy,George Ripley,DIMEV 5920
alchemy,Thomas Norton,DIMEV 6014
alchemy,George Ripley,DIMEV 6278
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 6296
links,Geoffrey Chaucer,DIMEV 6296
alchemy,Geoffrey Chaucer,DIMEV 6296
alchemy,George Ripley,DIMEV 6411
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 6753
alchemy,Geoffrey Chaucer,DIMEV 6753
corruption,Geoffrey Chaucer,DIMEV 6753
ale,John Lydgate,DIMEV 4466
occupations,John Lydgate,DIMEV 4466
women,John Lydgate,DIMEV 4466
lovers,Piers of Fulham,DIMEV 112
hunting,Piers of Fulham,DIMEV 112
allegorical poems,Piers of Fulham,DIMEV 112
allegorical poems,John Skelton,DIMEV 1203
tales,John Skelton,DIMEV 1203
complaints,Geoffrey Chaucer,DIMEV 1518
allegorical poems,Geoffrey Chaucer,DIMEV 1518
astrology/astronomy,Geoffrey Chaucer,DIMEV 1518
envoys,Geoffrey Chaucer,DIMEV 1518
allegorical poems,William Nevill,DIMEV 6083
dream visions,William Nevill,DIMEV 6083
printers,William Nevill,DIMEV 6083
envoys,William Nevill,DIMEV 6083
allegories,Gawin Douglas,DIMEV 6388
dream poems,Gawin Douglas,DIMEV 6388
allegorical poems,Gawin Douglas,DIMEV 6388
Edmund,John Lydgate,DIMEV 864
allegories,John Lydgate,DIMEV 864
instruction,Robert Grosseteste,DIMEV 2809
allegories,Robert Grosseteste,DIMEV 2809
allegories,Gawin Douglas,DIMEV 2995
pageant verses,John Lydgate,DIMEV 3149
allegories,John Lydgate,DIMEV 3149
Fortune,John Lydgate,DIMEV 3149
virtues,John Lydgate,DIMEV 3149
treatises,Robert Grosseteste,DIMEV 5131
allegories,Robert Grosseteste,DIMEV 5131
instruction,Robert Grosseteste,DIMEV 5131
tales,Robert Henryson,DIMEV 5424
allegories,Robert Henryson,DIMEV 5424
romances,Robert Henryson,DIMEV 5687
allegories,Robert Henryson,DIMEV 5687
allegories,John Lydgate,DIMEV 5964
chess,John Lydgate,DIMEV 5964
Venus,John Lydgate,DIMEV 5964
Diana,John Lydgate,DIMEV 5964
love,John Lydgate,DIMEV 5964
virtues,Stephen Hawes,DIMEV 6320
allegories,Stephen Hawes,DIMEV 6320
dream poems,Stephen Hawes,DIMEV 6320
May,William Dunbar,DIMEV 6374
dream poems,William Dunbar,DIMEV 6374
allegories,William Dunbar,DIMEV 6374
James IV,William Dunbar,DIMEV 6374
Tudor,William Dunbar,DIMEV 6374
allegories,Stephen Hawes,DIMEV 6391
envoys,Stephen Hawes,DIMEV 6391
allegories,Robert Henryson,DIMEV 6807
virtues,Robert Henryson,DIMEV 6807
women,Robert Henryson,DIMEV 6807
translations,John Lydgate,DIMEV 6850
translations,Guillaume Deguileville,DIMEV 6850
allegories,John Lydgate,DIMEV 6850
allegories,Guillaume Deguileville,DIMEV 6850
treatises,John Lydgate,DIMEV 6850
treatises,Guillaume Deguileville,DIMEV 6850
dreams,Geoffrey Chaucer,DIMEV 3403
dreams,Guilliame de Lorris,DIMEV 3403
dreams,Jean de Meun,DIMEV 3403
Courtly Love,Geoffrey Chaucer,DIMEV 3403
Courtly Love,Guilliame de Lorris,DIMEV 3403
Courtly Love,Jean de Meun,DIMEV 3403
allegory,Geoffrey Chaucer,DIMEV 3403
allegory,Guilliame de Lorris,DIMEV 3403
allegory,Jean de Meun,DIMEV 3403
almsgiving,John Hurleston,DIMEV 1660
Edward VI,John Hurleston,DIMEV 1660
Edward IV,John Hurleston,DIMEV 1660
Edward V,John Hurleston,DIMEV 1660
patronage,John Hurleston,DIMEV 1660
almsgiving,John Grimestone,DIMEV 5296
translations,John Grimestone,DIMEV 5296
almsgiving,William Dunbar,DIMEV 6002
letters,Henry Berry,DIMEV 6805
almsgiving,Henry Berry,DIMEV 6805
patronage,Henry Berry,DIMEV 6805
alphabetic poems,William Thorpe,DIMEV 740
clergy,William Thorpe,DIMEV 740
alphabetic poems,John Marion,DIMEV 991
Virgin Mary,John Marion,DIMEV 991
hymns,John Audelay,DIMEV 1491
Anne,John Audelay,DIMEV 1491
Anne,John Lydgate,DIMEV 1869
Anne,Osbern Bokenam,DIMEV 2359
saints’ lives,Osbern Bokenam,DIMEV 2359
Anne,John Audelay,DIMEV 5088
prayers,John Audelay,DIMEV 5088
carols,John Audelay,DIMEV 5088
Anne,John Lydgate,DIMEV 5824
prayers,John Lydgate,DIMEV 5824
Annunciation,Robert Henryson,DIMEV 1422
religious observance,John Audelay,DIMEV 4542
Anselm,John Audelay,DIMEV 4542
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 1242
marriage,Geoffrey Chaucer,DIMEV 1242
antifeminism,Geoffrey Chaucer,DIMEV 1242
autobiography,Geoffrey Chaucer,DIMEV 1242
confession,Geoffrey Chaucer,DIMEV 1242
aphorisms,William Wey,DIMEV 775
travel poems,William Wey,DIMEV 775
aphorisms,George Ashby,DIMEV 1223
paraphrases,George Ashby,DIMEV 1223
precepts,George Ashby,DIMEV 1223
aphorisms,John Trevisa,DIMEV 1231
aphorisms,Ranulph Higden,DIMEV 1231
death,John Trevisa,DIMEV 1231
death,Ranulph Higden,DIMEV 1231
time,John Trevisa,DIMEV 1231
time,Ranulph Higden,DIMEV 1231
aphorisms,William Dunbar,DIMEV 1439
sins,William Dunbar,DIMEV 1439
ingratitude,John Grimestone,DIMEV 2801
aphorisms,John Grimestone,DIMEV 2801
translations,John Grimestone,DIMEV 2801
translations,John Grimestone,DIMEV 3037
aphorisms,John Grimestone,DIMEV 3037
aphorisms,John Grimestone,DIMEV 3689
virtues,Friar Nicholas Philip,DIMEV 4350
sermons,Friar Nicholas Philip,DIMEV 4350
aphorisms,Friar Nicholas Philip,DIMEV 4350
aphorisms,Carter,DIMEV 4957
aphorisms,Nicholas Bozon,DIMEV 6211
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 145
London,Geoffrey Chaucer,DIMEV 145
apprentices,Geoffrey Chaucer,DIMEV 145
fabliaux,Geoffrey Chaucer,DIMEV 145
debauchery,Geoffrey Chaucer,DIMEV 145
herbergage,Geoffrey Chaucer,DIMEV 145
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 2618
women,Geoffrey Chaucer,DIMEV 2618
Arthur,Geoffrey Chaucer,DIMEV 2618
supernatural,Geoffrey Chaucer,DIMEV 2618
quest,Geoffrey Chaucer,DIMEV 2618
carols,Edmund Turges,DIMEV 3844
political poems,Edmund Turges,DIMEV 3844
Arthur,Edmund Turges,DIMEV 3844
Arthurian literature,Henry Lovelich,DIMEV 1386
Arthurian literature,Henry Lovelich,DIMEV 3734
romances,Henry Lovelich,DIMEV 3734
Arundel,Thomas Hoccleve,DIMEV 1290
patronage,Thomas Hoccleve,DIMEV 1290
virelais,Thomas Hoccleve,DIMEV 1290
mutability,John Lydgate,DIMEV 5533
seasons,John Lydgate,DIMEV 5533
astrology/astronomy,John Lydgate,DIMEV 5533
Augustine of Canterbury,John Lydgate,DIMEV 3085
miracles,John Lydgate,DIMEV 3085
envoys,John Lydgate,DIMEV 3085
authorship,William Dunbar,DIMEV 1247
patronage,William Dunbar,DIMEV 1247
ballads,John Lydgate,DIMEV 45
satire,John Lydgate,DIMEV 45
envoys,John Lydgate,DIMEV 45
ballads,William de la Pole,DIMEV 502
love lyrics,William de la Pole,DIMEV 502
lovers,William de la Pole,DIMEV 502
ballads,John Lydgate,DIMEV 2052
envoys,John Lydgate,DIMEV 2052
ballads,William Dunbar,DIMEV 3933
Virgin Mary,William Dunbar,DIMEV 3933
ballads,Robert Henryson,DIMEV 4267
Scotland,Robert Henryson,DIMEV 4267
Scots,Robert Henryson,DIMEV 4267
ballads,Thomas Hoccleve,DIMEV 4799
envoys,Alain Chartier,DIMEV 5587
envoys,William Caxton,DIMEV 5587
translations,Alain Chartier,DIMEV 5587
translations,William Caxton,DIMEV 5587
ballads,Alain Chartier,DIMEV 5587
ballads,William Caxton,DIMEV 5587
Balliol,Peter Langtoft,DIMEV 1340
political poems,Peter Langtoft,DIMEV 1340
Balliol,Peter Langtoft,DIMEV 4269
Balliol,Robert Mannyng,DIMEV 4269
chronicles,Peter Langtoft,DIMEV 4269
chronicles,Robert Mannyng,DIMEV 4269
Bannockburn,Laurence Minot,DIMEV 4796
historical poems,Laurence Minot,DIMEV 4796
prayers,John Lydgate,DIMEV 863
Denis,John Lydgate,DIMEV 863
Christopher,John Lydgate,DIMEV 863
Blasius,John Lydgate,DIMEV 863
Egidius,John Lydgate,DIMEV 863
George,John Lydgate,DIMEV 863
Giles,John Lydgate,DIMEV 863
Katherine of Alexandria,John Lydgate,DIMEV 863
Martha,John Lydgate,DIMEV 863
Margaret,John Lydgate,DIMEV 863
Christine,John Lydgate,DIMEV 863
Barbara,John Lydgate,DIMEV 863
commemorative verse,Richard Fannande ironmonger of Abingdon,DIMEV 4149
historical poems,Richard Fannande ironmonger of Abingdon,DIMEV 4149
Barber,Richard Fannande ironmonger of Abingdon,DIMEV 4149
Berwick,Peter Langtoft,DIMEV 4372
Scots,Peter Langtoft,DIMEV 4372
chronicles,Peter Langtoft,DIMEV 4372
friars,William Dunbar,DIMEV 726
Berwick (Scot.),William Dunbar,DIMEV 726
birds,William Dunbar,DIMEV 2536
birds,Sir Richard Holland,DIMEV 2609
fables,Sir Richard Holland,DIMEV 2609
birds,John Skelton,DIMEV 3644
envoys,John Skelton,DIMEV 3644
political poems,John Skelton,DIMEV 3644
satire,John Skelton,DIMEV 3644
debates,John Clanvowe,DIMEV 5299
birds,John Clanvowe,DIMEV 5299
envoys,John Clanvowe,DIMEV 5299
dream poems,John Clanvowe,DIMEV 5299
dream poems,Geoffrey Chaucer,DIMEV 5373
birds,Geoffrey Chaucer,DIMEV 5373
envoys,John Lydgate,DIMEV 6059
birds,John Lydgate,DIMEV 6059
humility,John Lydgate,DIMEV 6059
medicine,John Lydgate,DIMEV 1356
bloodletting,John Lydgate,DIMEV 1356
calendars,John Lydgate,DIMEV 1356
bloodletting,John Lydgate,DIMEV 2369
medicine,John Lydgate,DIMEV 2369
calendars,John Lydgate,DIMEV 2369
Boethius,Geoffrey Chaucer,DIMEV 14
Golden Age,Geoffrey Chaucer,DIMEV 14
bookplates,Stephen Batman,DIMEV 2355
bookplates,William Wymondham,DIMEV 2434
colophons,John Audelay,DIMEV 3698
bookplates,John Audelay,DIMEV 3698
bookplates,Georg Barclay,DIMEV 5655
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 2476
marriage,Geoffrey Chaucer,DIMEV 2476
illusion,Geoffrey Chaucer,DIMEV 2476
Breton lays,Geoffrey Chaucer,DIMEV 2476
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 5617
prologues,Geoffrey Chaucer,DIMEV 5617
rhetoric,Geoffrey Chaucer,DIMEV 5617
Breton lays,Geoffrey Chaucer,DIMEV 5617
hymns,John Audelay,DIMEV 1727
Bridget,John Audelay,DIMEV 1727
songs,James Ryman,DIMEV 800
peace,James Ryman,DIMEV 800
brotherly love,James Ryman,DIMEV 800
charters,John Lydgate,DIMEV 2554
Bury St Edmund’s,John Lydgate,DIMEV 2554
Calais,Laurence Minot,DIMEV 954
historical poems,Laurence Minot,DIMEV 954
calendars,Robert Copland,DIMEV 229
Ember Days,Robert Copland,DIMEV 229
calendars,John Lydgate,DIMEV 2863
prayers,John Lydgate,DIMEV 2863
calendars,John Shirley,DIMEV 4115
seasons,Humfrey Newton,DIMEV 4384
calendars,Humfrey Newton,DIMEV 4384
Calliope,John Skelton,DIMEV 955
Cambridge,John Lydgate,DIMEV 948
carols,John Audelay,DIMEV 4
dialogues,John Audelay,DIMEV 4
carols,John Audelay,DIMEV 4
carols,Richard Smert,DIMEV 22
carols,James Ryman,DIMEV 106
carols,James Ryman,DIMEV 213
fall and redemption,James Ryman,DIMEV 213
Virgin Mary,James Ryman,DIMEV 469
carols,James Ryman,DIMEV 469
Virgin Mary,James Ryman,DIMEV 470
carols,James Ryman,DIMEV 470
Virgin Mary,James Ryman,DIMEV 471
carols,James Ryman,DIMEV 471
Virgin Mary,James Ryman,DIMEV 473
carols,James Ryman,DIMEV 473
Virgin Mary,James Ryman,DIMEV 475
carols,James Ryman,DIMEV 475
carols,James Ryman,DIMEV 657
carols,Henry VIII,DIMEV 678
carols,James Ryman,DIMEV 730
carols,James Ryman,DIMEV 794
Virgin Mary,John Audelay,DIMEV 869
carols,John Audelay,DIMEV 869
women,John Audelay,DIMEV 869
carols,John Audelay,DIMEV 871
carols,James Ryman,DIMEV 887
Virgin Mary,James Ryman,DIMEV 978
carols,James Ryman,DIMEV 978
carols,James Ryman,DIMEV 1048
carols,John Audelay,DIMEV 1152
death,John Audelay,DIMEV 1152
carols,James Ryman,DIMEV 1286
carols,James Ryman,DIMEV 1292
Trinity,James Ryman,DIMEV 1292
mercy,John Audelay,DIMEV 1303
carols,John Audelay,DIMEV 1303
carols,William Stewart,DIMEV 1316
carols,Thomas Wyatt,DIMEV 1339
God,John Audelay,DIMEV 1368
carols,John Audelay,DIMEV 1368
Thomas of Canterbury,John Audelay,DIMEV 1379
carols,John Audelay,DIMEV 1379
carols,John Audelay,DIMEV 1382
carols,John Audelay,DIMEV 1424
sins,John Audelay,DIMEV 1424
Virgin Mary,John Audelay,DIMEV 1492
carols,John Audelay,DIMEV 1492
Virgin Mary,James Ryman,DIMEV 1709
carols,James Ryman,DIMEV 1709
carols,James Ryman,DIMEV 1710
Virgin Mary,James Ryman,DIMEV 1710
carols,James Ryman,DIMEV 1744
Virgin Mary,James Ryman,DIMEV 1744
Christ,James Ryman,DIMEV 1809
carols,James Ryman,DIMEV 1809
carols,James Ryman,DIMEV 1810
Christ,James Ryman,DIMEV 1810
carols,Thomas Wyatt,DIMEV 2105
love,Thomas Wyatt,DIMEV 2105
carols,Sir Thomas Phelipps,DIMEV 2212
political poems,Sir Thomas Phelipps,DIMEV 2212
repentance,James Ryman,DIMEV 2408
carols,James Ryman,DIMEV 2408
prophecies,James Ryman,DIMEV 2570
carols,James Ryman,DIMEV 2570
Simeon,James Ryman,DIMEV 2570
carols,John Audelay,DIMEV 2664
carols,John Audelay,DIMEV 2672
women,John Audelay,DIMEV 2672
marriage,John Audelay,DIMEV 2730
carols,John Audelay,DIMEV 2730
carols,James Ryman,DIMEV 2971
Joseph,James Ryman,DIMEV 2971
carols,James Ryman,DIMEV 3395
Virgin Mary,James Ryman,DIMEV 3436
carols,James Ryman,DIMEV 3436
carols,John Audelay,DIMEV 3500
Holy Ghost,John Audelay,DIMEV 3500
carols,John Skelton,DIMEV 3586
tournaments,William Cornish,DIMEV 3653
Henry VIII,William Cornish,DIMEV 3653
carols,William Cornish,DIMEV 3653
women,William Cornish,DIMEV 3653
Catherine of Aragon,William Cornish,DIMEV 3653
carols,Thomas Wyatt,DIMEV 3671
women,Thomas Wyatt,DIMEV 3671
carols,James Ryman,DIMEV 3732
carols,James Ryman,DIMEV 3761
carols,James Ryman,DIMEV 3807
carols,James Ryman,DIMEV 3980
Henry VII,John Skelton,DIMEV 4007
Garter,John Skelton,DIMEV 4007
occasional verse,John Skelton,DIMEV 4007
carols,John Skelton,DIMEV 4007
political poems,John Skelton,DIMEV 4007
dialogues,James Ryman,DIMEV 4011
Virgin Mary,James Ryman,DIMEV 4011
carols,James Ryman,DIMEV 4011
carols,James Ryman,DIMEV 4020
Christ,James Ryman,DIMEV 4020
carols,James Ryman,DIMEV 4031
carols,James Ryman,DIMEV 4033
carols,James Ryman,DIMEV 4034
carols,James Ryman,DIMEV 4035
carols,James Ryman,DIMEV 4036
carols,James Ryman,DIMEV 4055
carols,James Ryman,DIMEV 4056
carols,James Ryman,DIMEV 4060
carols,James Ryman,DIMEV 4063
carols,James Ryman,DIMEV 4064
carols,James Ryman,DIMEV 4066
carols,James Ryman,DIMEV 4087
carols,James Ryman,DIMEV 4126
Trinity,James Ryman,DIMEV 4126
carols,James Ryman,DIMEV 4186
Christ,James Ryman,DIMEV 4186
carols,Richard Smert,DIMEV 4187
carols,James Ryman,DIMEV 4278
carols,James Ryman,DIMEV 4279
carols,James Ryman,DIMEV 4338
carols,James Ryman,DIMEV 4358
carols,James Ryman,DIMEV 4453
carols,John Rastell,DIMEV 4508
nonsense,John Rastell,DIMEV 4508
