Source,Target,Label
dedications,Anthony Wydeville (earl Rivers),DIMEV 5661
prayers,John Lydgate,DIMEV 4070
Denis,John Lydgate,DIMEV 4070
Isabelle,"Richard Beauchamp, earl of Warwick",DIMEV 2147
Despencer,"Richard Beauchamp, earl of Warwick",DIMEV 2147
virelais,"Richard Beauchamp, earl of Warwick",DIMEV 2147
devil,William Dunbar,DIMEV 5739
Satan,William Dunbar,DIMEV 5739
devotional verse,Richard Rolle,DIMEV 361
devotional verse,Robert Henryson,DIMEV 449
devotional verse,John Grimestone,DIMEV 1641
devotional verse,John Grimestone,DIMEV 2411
paraphrases,John Lydgate,DIMEV 4051
devotional verse,John Lydgate,DIMEV 4051
Saint Bernard,John Lydgate,DIMEV 4051
translations,Francesco Petrarch,DIMEV 2129
dialogues,Francesco Petrarch,DIMEV 2129
women,John Skelton,DIMEV 2142
love,John Skelton,DIMEV 2142
dialogues,John Skelton,DIMEV 2142
dialogues,William Dunbar,DIMEV 2574
women,William Dunbar,DIMEV 2574
ribaldry,William Dunbar,DIMEV 2574
erotic verse,William Dunbar,DIMEV 2574
dialogues,Charles d’Orléans,DIMEV 3047
envoys,Charles d’Orléans,DIMEV 3047
envoys,Charles d’Orléans,DIMEV 3504
dialogues,Charles d’Orléans,DIMEV 3504
satire,John Lydgate,DIMEV 4032
dialogues,John Lydgate,DIMEV 4032
marriage,John Lydgate,DIMEV 4032
dialogues,William Lichfield,DIMEV 4312
envoys,Charles d’Orléans,DIMEV 4484
dialogues,Charles d’Orléans,DIMEV 4484
dialogues,John Grimestone,DIMEV 5853
dialogues,James Ryman,DIMEV 6674
dice,Thomas More,DIMEV 3514
prefaces,Thomas More,DIMEV 3514
duplicity,John Lydgate,DIMEV 5793
mutability,John Lydgate,DIMEV 5793
dice,John Lydgate,DIMEV 5793
Fortune,John Lydgate,DIMEV 5793
women,John Lydgate,DIMEV 5793
envoys,John Lydgate,DIMEV 5793
patronage,William Dunbar,DIMEV 3928
Dog,William Dunbar,DIMEV 3928
Dog,William Dunbar,DIMEV 5519
Doomsday,John Lydgate,DIMEV 677
Doomsday,John Grimestone,DIMEV 701
Doomsday,John Grimestone,DIMEV 4218
Dorothy,Dorothy Bokenham,DIMEV 6287
saints’ lives,Dorothy Bokenham,DIMEV 6287
dream poems,John Lydgate,DIMEV 1403
love lyrics,John Lydgate,DIMEV 1403
dream poems,"James I, king of Scotland",DIMEV 2024
dream poems,John Lydgate,DIMEV 2501
envoys,John Lydgate,DIMEV 2501
love lyrics,John Lydgate,DIMEV 2501
dream poems,John Lydgate,DIMEV 6393
virtues,John Lydgate,DIMEV 6393
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 142
fables,Geoffrey Chaucer,DIMEV 142
dreams,Geoffrey Chaucer,DIMEV 142
prognostications,Bernardus Sylvestris,DIMEV 645
dreams,Bernardus Sylvestris,DIMEV 645
glosses,Bernardus Sylvestris,DIMEV 645
translations,Bernardus Sylvestris,DIMEV 645
prognostications,Bernardus Sylvestris,DIMEV 1414
dreams,Bernardus Sylvestris,DIMEV 1414
glosses,Bernardus Sylvestris,DIMEV 1414
translations,Bernardus Sylvestris,DIMEV 1414
Fame,Geoffrey Chaucer,DIMEV 1620
Fortune,Geoffrey Chaucer,DIMEV 1620
dreams,Geoffrey Chaucer,DIMEV 1620
speech,Geoffrey Chaucer,DIMEV 1620
prognostications,Bernardus Sylvestris,DIMEV 4217
dreams,Bernardus Sylvestris,DIMEV 4217
glosses,Bernardus Sylvestris,DIMEV 4217
translations,Bernardus Sylvestris,DIMEV 4217
prognostications,Bernardus Sylvestris,DIMEV 4234
dreams,Bernardus Sylvestris,DIMEV 4234
glosses,Bernardus Sylvestris,DIMEV 4234
translations,Bernardus Sylvestris,DIMEV 4234
prognostications,Bernardus Sylvestris,DIMEV 4237
dreams,Bernardus Sylvestris,DIMEV 4237
glosses,Bernardus Sylvestris,DIMEV 4237
translations,Bernardus Sylvestris,DIMEV 4237
prognostications,Bernardus Sylvestris,DIMEV 5250
dreams,Bernardus Sylvestris,DIMEV 5250
glosses,Bernardus Sylvestris,DIMEV 5250
translations,Bernardus Sylvestris,DIMEV 5250
prognostications,Bernardus Sylvestris,DIMEV 5463
dreams,Bernardus Sylvestris,DIMEV 5463
glosses,Bernardus Sylvestris,DIMEV 5463
translations,Bernardus Sylvestris,DIMEV 5463
patronage,William Dunbar,DIMEV 5681
James IV,William Dunbar,DIMEV 5681
dreams,William Dunbar,DIMEV 5681
prognostications,Bernardus Sylvestris,DIMEV 5984
dreams,Bernardus Sylvestris,DIMEV 5984
glosses,Bernardus Sylvestris,DIMEV 5984
translations,Bernardus Sylvestris,DIMEV 5984
Virgin Mary,John Lydgate,DIMEV 843
dream visions,John Lydgate,DIMEV 843
envoys,John Lydgate,DIMEV 843
dream visions,William Langland,DIMEV 2458
sins,William Langland,DIMEV 2458
prayers,William Langland,DIMEV 2458
scribes,William Langland,DIMEV 2458
penitence,William Langland,DIMEV 2458
dream visions,William Langland,DIMEV 2459
sins,William Langland,DIMEV 2459
prayers,William Langland,DIMEV 2459
scribes,William Langland,DIMEV 2459
penitence,William Langland,DIMEV 2459
dream visions,William Langland,DIMEV 2460
sins,William Langland,DIMEV 2460
prayers,William Langland,DIMEV 2460
scribes,William Langland,DIMEV 2460
penitence,William Langland,DIMEV 2460
dream visions,John Skelton,DIMEV 2477
political verse,John Skelton,DIMEV 2477
minstrels,John Skelton,DIMEV 2477
Haster,John Skelton,DIMEV 2477
dream visions,William Dunbar,DIMEV 4493
envoys,William Dunbar,DIMEV 4493
friars,William Dunbar,DIMEV 5737
Francis of Assisi,William Dunbar,DIMEV 5737
dream visions,William Dunbar,DIMEV 5737
drinking,John Crophill,DIMEV 1455
drunkenness,John Grimestone,DIMEV 1156
translations,John Grimestone,DIMEV 1156
proverbs,John Grimestone,DIMEV 1156
envoys,Thomas Hoccleve,DIMEV 1537
duke of York,Thomas Hoccleve,DIMEV 1537
Dunbar,Peter Langtoft,DIMEV 5283
occasional verse,Peter Langtoft,DIMEV 5283
historical poems,Peter Langtoft,DIMEV 5283
Easter,Thomas Hoccleve,DIMEV 2067
songs,Thomas Hoccleve,DIMEV 2067
Edinburgh,William Dunbar,DIMEV 494
gossip,William Dunbar,DIMEV 494
Edmund,John Lydgate,DIMEV 1520
prayers,John Lydgate,DIMEV 1520
Edmund,John Lydgate,DIMEV 3911
Henry VI,John Lydgate,DIMEV 3911
prayers,John Lydgate,DIMEV 3911
Edmund,John Lydgate,DIMEV 5422
saints’ lives,John Lydgate,DIMEV 5422
Edmund of Abingdon,John Lydgate,DIMEV 3036
miracles,John Lydgate,DIMEV 3036
Edward II,Adam Davy,DIMEV 5993
prophecies,Adam Davy,DIMEV 5993
Edward III,Laurence Minot,DIMEV 1615
historical poems,Laurence Minot,DIMEV 1615
Edward IV,Claudianus,DIMEV 2573
prologues,Claudianus,DIMEV 2573
envoys,Claudianus,DIMEV 2573
translations,Claudianus,DIMEV 2573
Edward IV,John Skelton,DIMEV 3524
laments,John Skelton,DIMEV 3524
prayers,John Lydgate,DIMEV 3563
Henry VI,John Lydgate,DIMEV 3563
Edward IV,John Lydgate,DIMEV 3563
historical poems,John Lydgate,DIMEV 3563
envoys,John Lydgate,DIMEV 3563
eight-line,William Dunbar,DIMEV 3164
Stewart,William Dunbar,DIMEV 2438
elegies,William Dunbar,DIMEV 2438
elegies,James Packe,DIMEV 3935
George,James Packe,DIMEV 3935
Willoughby family,James Packe,DIMEV 3935
Henry VII,Stephen Hawes,DIMEV 4088
elegies,Stephen Hawes,DIMEV 4088
Elizabeth,Osbern Bokenam,DIMEV 5539
saints’ lives,Osbern Bokenam,DIMEV 5539
occasional verse,Thomas Ashwell,DIMEV 1580
Henry VII,Thomas Ashwell,DIMEV 1580
Elizabeth of York,Thomas Ashwell,DIMEV 1580
Stanley,Humphrey Brereton,DIMEV 1605
historical poems,Humphrey Brereton,DIMEV 1605
Richard III,Humphrey Brereton,DIMEV 1605
Elizabeth of York,Humphrey Brereton,DIMEV 1605
Elizabeth of York,Thomas More,DIMEV 4118
laments,Thomas More,DIMEV 4118
love lyrics,Charles d’Orléans,DIMEV 28
tournaments,Charles d’Orléans,DIMEV 28
envoys,Charles d’Orléans,DIMEV 28
love lyrics,Charles d’Orléans,DIMEV 246
envoys,Charles d’Orléans,DIMEV 246
lovers,Charles d’Orléans,DIMEV 258
envoys,Charles d’Orléans,DIMEV 258
lovers,Charles d’Orléans,DIMEV 262
envoys,Charles d’Orléans,DIMEV 262
lovers,Charles d’Orléans,DIMEV 269
envoys,Charles d’Orléans,DIMEV 269
lovers,Charles d’Orléans,DIMEV 280
envoys,Charles d’Orléans,DIMEV 280
love lyrics,Charles d’Orléans,DIMEV 288
envoys,Charles d’Orléans,DIMEV 288
lovers,Charles d’Orléans,DIMEV 310
envoys,Charles d’Orléans,DIMEV 310
lovers,Charles d’Orléans,DIMEV 311
envoys,Charles d’Orléans,DIMEV 311
lover’s lament,Charles d’Orléans,DIMEV 448
lovers,Charles d’Orléans,DIMEV 448
envoys,Charles d’Orléans,DIMEV 448
love lyrics,Charles d’Orléans,DIMEV 513
envoys,Charles d’Orléans,DIMEV 513
love lyrics,Charles d’Orléans,DIMEV 577
envoys,Charles d’Orléans,DIMEV 577
lovers,Charles d’Orléans,DIMEV 642
envoys,Charles d’Orléans,DIMEV 642
prison/prisoners,George Ashby,DIMEV 718
envoys,George Ashby,DIMEV 718
saints’ lives,John Lydgate,DIMEV 720
Margaret,John Lydgate,DIMEV 720
prologues,John Lydgate,DIMEV 720
envoys,John Lydgate,DIMEV 720
The Game of Love,Charles d’Orléans,DIMEV 721
love,Charles d’Orléans,DIMEV 721
envoys,Charles d’Orléans,DIMEV 721
Lord’s Prayer,John Lydgate,DIMEV 729
envoys,John Lydgate,DIMEV 729
occasional verse,John Lydgate,DIMEV 747
pageant verses,John Lydgate,DIMEV 747
envoys,John Lydgate,DIMEV 747
love lyrics,Charles d’Orléans,DIMEV 750
envoys,Charles d’Orléans,DIMEV 750
Virgin Mary,John Lydgate,DIMEV 757
envoys,John Lydgate,DIMEV 757
love lyrics,Charles d’Orléans,DIMEV 897
envoys,Charles d’Orléans,DIMEV 897
love lyrics,Charles d’Orléans,DIMEV 902
envoys,Charles d’Orléans,DIMEV 902
love,Charles d’Orléans,DIMEV 909
envoys,Charles d’Orléans,DIMEV 909
love lyrics,Charles d’Orléans,DIMEV 934
envoys,Charles d’Orléans,DIMEV 934
envoys,Charles d’Orléans,DIMEV 1073
lovers,Charles d’Orléans,DIMEV 1073
hope,Charles d’Orléans,DIMEV 1130
envoys,Charles d’Orléans,DIMEV 1130
envoys,John Walton,DIMEV 1218
envoys,Boethius,DIMEV 1218
laments,John Lydgate,DIMEV 1230
lover’s lament,John Lydgate,DIMEV 1230
envoys,John Lydgate,DIMEV 1230
lovers,Charles d’Orléans,DIMEV 1343
envoys,Charles d’Orléans,DIMEV 1343
lover’s lament,Charles d’Orléans,DIMEV 1343
lovers,Charles d’Orléans,DIMEV 1370
envoys,Charles d’Orléans,DIMEV 1370
precepts,Benedict Burgh,DIMEV 1418
envoys,Benedict Burgh,DIMEV 1418
women,Benedict Burgh,DIMEV 1418
love lyrics,John Lydgate,DIMEV 1452
envoys,John Lydgate,DIMEV 1452
love letters,Humfrey Newton,DIMEV 1532
envoys,Humfrey Newton,DIMEV 1532
epilogues,William Caxton,DIMEV 1534
Virgin Mary,William Caxton,DIMEV 1534
envoys,William Caxton,DIMEV 1534
envoys,John Lydgate,DIMEV 1535
Henry VI,John Lydgate,DIMEV 1535
lovers,Charles d’Orléans,DIMEV 1678
envoys,Charles d’Orléans,DIMEV 1678
women,Roos Roos,DIMEV 1761
envoys,Roos Roos,DIMEV 1761
history,Rotheley,DIMEV 1762
Vere,Rotheley,DIMEV 1762
envoys,Rotheley,DIMEV 1762
love,Charles d’Orléans,DIMEV 1763
envoys,Charles d’Orléans,DIMEV 1763
scripture texts,John Lydgate,DIMEV 1816
envoys,John Lydgate,DIMEV 1816
envoys,Charles d’Orléans,DIMEV 1923
lovers,Charles d’Orléans,DIMEV 1923
lovers,Charles d’Orléans,DIMEV 2054
envoys,Charles d’Orléans,DIMEV 2054
lovers,Charles d’Orléans,DIMEV 2055
envoys,Charles d’Orléans,DIMEV 2055
lovers,Charles d’Orléans,DIMEV 2070
envoys,Charles d’Orléans,DIMEV 2070
envoys,Charles d’Orléans,DIMEV 2081
love lyrics,Charles d’Orléans,DIMEV 2081
envoys,Charles d’Orléans,DIMEV 2191
love lyrics,Charles d’Orléans,DIMEV 2191
envoys,Charles d’Orléans,DIMEV 2193
love,Charles d’Orléans,DIMEV 2193
On the Company of Lovers,Charles d’Orléans,DIMEV 2308
lovers,Charles d’Orléans,DIMEV 2308
envoys,Charles d’Orléans,DIMEV 2308
lovers,Charles d’Orléans,DIMEV 2336
envoys,Charles d’Orléans,DIMEV 2336
love,Charles d’Orléans,DIMEV 2337
lovers,Charles d’Orléans,DIMEV 2337
envoys,Charles d’Orléans,DIMEV 2337
love letters,Charles d’Orléans,DIMEV 2358
envoys,Charles d’Orléans,DIMEV 2358
fables,John Lydgate,DIMEV 2490
friends,John Lydgate,DIMEV 2490
envoys,John Lydgate,DIMEV 2490
love,Charles d’Orléans,DIMEV 2530
envoys,Charles d’Orléans,DIMEV 2530
lovers,Charles d’Orléans,DIMEV 2578
envoys,Charles d’Orléans,DIMEV 2578
Norbert,John Capgrave,DIMEV 2973
saints’ lives,John Capgrave,DIMEV 2973
envoys,John Capgrave,DIMEV 2973
mutability,John Lydgate,DIMEV 3080
envoys,John Lydgate,DIMEV 3080
transitoriness,John Lydgate,DIMEV 3080
envoys,Charles d’Orléans,DIMEV 3305
lovers,Charles d’Orléans,DIMEV 3305
lovers,Charles d’Orléans,DIMEV 3318
envoys,Charles d’Orléans,DIMEV 3318
occasional verse,John Lydgate,DIMEV 3497
pageant verses,John Lydgate,DIMEV 3497
envoys,John Lydgate,DIMEV 3497
lover’s lament,Charles d’Orléans,DIMEV 3502
envoys,Charles d’Orléans,DIMEV 3502
envoys,Charles d’Orléans,DIMEV 3537
lovers,Charles d’Orléans,DIMEV 3537
lovers,Charles d’Orléans,DIMEV 3547
envoys,Charles d’Orléans,DIMEV 3547
lovers,Charles d’Orléans,DIMEV 3549
envoys,Charles d’Orléans,DIMEV 3549
Henry VI,John Lydgate,DIMEV 3554
occasional verse,John Lydgate,DIMEV 3554
historical poems,John Lydgate,DIMEV 3554
envoys,John Lydgate,DIMEV 3554
envoys,Geoffrey Chaucer,DIMEV 3640
marriage,Geoffrey Chaucer,DIMEV 3640
love lyrics,Charles d’Orléans,DIMEV 3648
love,Charles d’Orléans,DIMEV 3648
envoys,Charles d’Orléans,DIMEV 3648
love lyrics,Charles d’Orléans,DIMEV 3662
lovers,Charles d’Orléans,DIMEV 3662
envoys,Charles d’Orléans,DIMEV 3662
envoys,Charles d’Orléans,DIMEV 3667
love lyrics,Charles d’Orléans,DIMEV 3667
lover’s pleas,Charles d’Orléans,DIMEV 3667
love,Charles d’Orléans,DIMEV 3667
love lyrics,Charles d’Orléans,DIMEV 3712
lovers,Charles d’Orléans,DIMEV 3712
envoys,Charles d’Orléans,DIMEV 3712
love lyrics,Charles d’Orléans,DIMEV 3727
envoys,Charles d’Orléans,DIMEV 3727
lovers,Charles d’Orléans,DIMEV 3818
envoys,Charles d’Orléans,DIMEV 3818
lovers,Charles d’Orléans,DIMEV 3861
envoys,Charles d’Orléans,DIMEV 3861
lovers,Charles d’Orléans,DIMEV 3883
envoys,Charles d’Orléans,DIMEV 3883
envoys,Charles d’Orléans,DIMEV 3886
lovers,Charles d’Orléans,DIMEV 3886
envoys,Charles d’Orléans,DIMEV 3889
lovers,Charles d’Orléans,DIMEV 3889
lovers,Charles d’Orléans,DIMEV 3930
envoys,Charles d’Orléans,DIMEV 3930
love lyrics,Charles d’Orléans,DIMEV 3957
envoys,Charles d’Orléans,DIMEV 3957
romances,John Lydgate,DIMEV 3995
envoys,John Lydgate,DIMEV 3995
Troy,John Lydgate,DIMEV 3995
two-line,John Lydgate,DIMEV 3995
envoys,John Lydgate,DIMEV 3995
envoys,Charles d’Orléans,DIMEV 4042
hope,Charles d’Orléans,DIMEV 4042
envoys,Charles d’Orléans,DIMEV 4046
love lyrics,Charles d’Orléans,DIMEV 4046
lover’s lament,Charles d’Orléans,DIMEV 4058
envoys,Charles d’Orléans,DIMEV 4058
envoys,Charles d’Orléans,DIMEV 4067
lovers,Charles d’Orléans,DIMEV 4067
envoys,Charles d’Orléans,DIMEV 4093
love,Charles d’Orléans,DIMEV 4093
envoys,John Lydgate,DIMEV 4120
women,John Lydgate,DIMEV 4120
satire,John Lydgate,DIMEV 4120
Giles,John Lydgate,DIMEV 4129
saints’ lives,John Lydgate,DIMEV 4129
envoys,John Lydgate,DIMEV 4129
envoys,Charles d’Orléans,DIMEV 4163
lover’s pleas,Charles d’Orléans,DIMEV 4163
envoys,Charles d’Orléans,DIMEV 4201
love lyrics,Charles d’Orléans,DIMEV 4201
envoys,Charles d’Orléans,DIMEV 4246
lover’s lament,Charles d’Orléans,DIMEV 4246
envoys,Charles d’Orléans,DIMEV 4294
lovers,Charles d’Orléans,DIMEV 4294
love,Charles d’Orléans,DIMEV 4379
envoys,Charles d’Orléans,DIMEV 4379
lovers,Charles d’Orléans,DIMEV 4399
envoys,Charles d’Orléans,DIMEV 4399
Virgin Mary,John Lydgate,DIMEV 4431
envoys,John Lydgate,DIMEV 4431
envoys,Charles d’Orléans,DIMEV 4471
lovers,Charles d’Orléans,DIMEV 4471
patronage,John Lydgate,DIMEV 4500
envoys,John Lydgate,DIMEV 4500
lovers,Charles d’Orléans,DIMEV 4505
lover’s pleas,Charles d’Orléans,DIMEV 4505
envoys,Charles d’Orléans,DIMEV 4505
Valentine,John Lydgate,DIMEV 4769
Virgin Mary,John Lydgate,DIMEV 4769
envoys,John Lydgate,DIMEV 4769
Valentine,John Lydgate,DIMEV 4770
Virgin Mary,John Lydgate,DIMEV 4770
envoys,John Lydgate,DIMEV 4770
lover’s lament,Charles d’Orléans,DIMEV 4832
envoys,Charles d’Orléans,DIMEV 4832
prayers,John Lydgate,DIMEV 4856
Thomas of Canterbury,John Lydgate,DIMEV 4856
envoys,John Lydgate,DIMEV 4856
lovers,Charles d’Orléans,DIMEV 4882
envoys,Charles d’Orléans,DIMEV 4882
lovers,Charles d’Orléans,DIMEV 4893
envoys,Charles d’Orléans,DIMEV 4893
lovers,Charles d’Orléans,DIMEV 4901
envoys,Charles d’Orléans,DIMEV 4901
lovers,Charles d’Orléans,DIMEV 4903
envoys,Charles d’Orléans,DIMEV 4903
love letters,Charles d’Orléans,DIMEV 4933
envoys,Charles d’Orléans,DIMEV 4933
women,Geoffrey Chaucer,DIMEV 4935
envoys,Geoffrey Chaucer,DIMEV 4935
women,John Lydgate,DIMEV 5232
envoys,John Lydgate,DIMEV 5232
letters,John Lydgate,DIMEV 5232
May,Charles d’Orléans,DIMEV 5348
envoys,Charles d’Orléans,DIMEV 5348
love letters,Charles d’Orléans,DIMEV 5418
envoys,Charles d’Orléans,DIMEV 5418
lovers,Charles d’Orléans,DIMEV 5435
envoys,Charles d’Orléans,DIMEV 5435
Henry VIII,Stephen Hawes,DIMEV 5445
occasional verse,Stephen Hawes,DIMEV 5445
prologues,Stephen Hawes,DIMEV 5445
envoys,Stephen Hawes,DIMEV 5445
May,Charles d’Orléans,DIMEV 5459
envoys,Charles d’Orléans,DIMEV 5459
mutability,John Lydgate,DIMEV 5575
transitoriness,John Lydgate,DIMEV 5575
envoys,John Lydgate,DIMEV 5575
envoys,Charles d’Orléans,DIMEV 5589
lovers,Charles d’Orléans,DIMEV 5589
May,Charles d’Orléans,DIMEV 5676
envoys,Charles d’Orléans,DIMEV 5676
lovers,Charles d’Orléans,DIMEV 5689
envoys,Charles d’Orléans,DIMEV 5689
Henry VI,John Lydgate,DIMEV 5693
occasional verse,John Lydgate,DIMEV 5693
envoys,John Lydgate,DIMEV 5693
May,Charles d’Orléans,DIMEV 5724
envoys,Charles d’Orléans,DIMEV 5724
envoys,John Lydgate,DIMEV 5729
satire,John Lydgate,DIMEV 5792
envoys,John Lydgate,DIMEV 5792
envoys,John Skelton,DIMEV 6015
satire,John Skelton,DIMEV 6015
occasional verse,John Skelton,DIMEV 6015
religious controversy,John Skelton,DIMEV 6015
love,Charles d’Orléans,DIMEV 6051
envoys,Charles d’Orléans,DIMEV 6051
May,Charles d’Orléans,DIMEV 6056
envoys,Charles d’Orléans,DIMEV 6056
Henry VI,John Lydgate,DIMEV 6060
envoys,John Lydgate,DIMEV 6060
historical poems,John Lydgate,DIMEV 6060
pageants,John Lydgate,DIMEV 6060
patronage,Thomas Hoccleve,DIMEV 6143
envoys,Thomas Hoccleve,DIMEV 6143
envoys,Charles d’Orléans,DIMEV 6187
love lyrics,Charles d’Orléans,DIMEV 6187
envoys,Charles d’Orléans,DIMEV 6199
lovers,Charles d’Orléans,DIMEV 6199
envoys,Charles d’Orléans,DIMEV 6244
lover’s lament,Charles d’Orléans,DIMEV 6244
envoys,Charles d’Orléans,DIMEV 6310
St. Valentine’s Day,Charles d’Orléans,DIMEV 6310
love lyrics,Charles d’Orléans,DIMEV 6310
envoys,Charles d’Orléans,DIMEV 6323
love lyrics,Charles d’Orléans,DIMEV 6323
envoys,Charles d’Orléans,DIMEV 6329
love lyrics,Charles d’Orléans,DIMEV 6329
envoys,Charles d’Orléans,DIMEV 6332
love lyrics,Charles d’Orléans,DIMEV 6332
fables,John Lydgate,DIMEV 6701
translations,John Lydgate,DIMEV 6701
envoys,John Lydgate,DIMEV 6701
envoys,Charles d’Orléans,DIMEV 6723
lover’s lament,Charles d’Orléans,DIMEV 6723
envoys,Charles d’Orléans,DIMEV 6729
lovers,Charles d’Orléans,DIMEV 6729
envoys,Charles d’Orléans,DIMEV 6765
love lyrics,Charles d’Orléans,DIMEV 6765
religious observance,John Lydgate,DIMEV 6820
envoys,John Lydgate,DIMEV 6820
mass,John Lydgate,DIMEV 6820
priesthood,John Lydgate,DIMEV 6824
envoys,John Lydgate,DIMEV 6824
mass,John Lydgate,DIMEV 6824
envoys,Charles d’Orléans,DIMEV 6880
lovers,Charles d’Orléans,DIMEV 6880
epilogues,Thomas Hoccleve,DIMEV 232
introductions,Thomas Hoccleve,DIMEV 232
epilogues,William Caxton,DIMEV 552
epilogues,Geoffrey Chaucer,DIMEV 552
occasional verse,William Caxton,DIMEV 552
occasional verse,Geoffrey Chaucer,DIMEV 552
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 3306
epilogues,Geoffrey Chaucer,DIMEV 3306
links,Geoffrey Chaucer,DIMEV 3306
epilogues,Anthony Wydeville (earl Rivers),DIMEV 4231
epilogues,Christine de Pisan,DIMEV 4231
printers,Anthony Wydeville (earl Rivers),DIMEV 4231
printers,Christine de Pisan,DIMEV 4231
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 4870
epilogues,Geoffrey Chaucer,DIMEV 4870
links,Geoffrey Chaucer,DIMEV 4870
translations,William Caxton,DIMEV 6115
epilogues,William Caxton,DIMEV 6115
Virgin Mary,William Caxton,DIMEV 6115
lovers,Charles d’Orléans,DIMEV 3515
epistles,Charles d’Orléans,DIMEV 3515
epistles,Christine de Pisan,DIMEV 5326
epistles,Anthony Babington,DIMEV 5326
epistles,Charles d’Orléans,DIMEV 6730
epitaphs,William Dunbar,DIMEV 2660
Owre,William Dunbar,DIMEV 2660
epitaphs,John Trevisa,DIMEV 4342
epitaphs,Ranulph Higden,DIMEV 4342
Pallas the giant,John Trevisa,DIMEV 4342
Pallas the giant,Ranulph Higden,DIMEV 4342
erotic verse,John Skelton,DIMEV 743
estates literature,Henry VI,DIMEV 3001
thieves,John Lydgate,DIMEV 4426
occupations,John Lydgate,DIMEV 4426
estates literature,John Lydgate,DIMEV 4426
satire,John Lydgate,DIMEV 4426
estates literature,John Lydgate,DIMEV 5788
Eucharist,Robert of Brunne,DIMEV 426
Eucharist,Robert of Brunne,DIMEV 1059
prayers,John Audelay,DIMEV 6473
Eucharist,John Audelay,DIMEV 6473
Eve,John Grimestone,DIMEV 1385
Virgin Mary,John Grimestone,DIMEV 1385
evils of the time,John Lydgate,DIMEV 390
lust,John Lydgate,DIMEV 390
evils of the time,John Grimestone,DIMEV 1308
evils of the time,John Grimestone,DIMEV 1675
Fortune,William Dunbar,DIMEV 3295
evils of the time,William Dunbar,DIMEV 3295
political poems,Robert Henryson,DIMEV 3457
evils of the time,Robert Henryson,DIMEV 3457
evils of the time,William Dunbar,DIMEV 4161
evils of the time,John Skelton,DIMEV 4943
Trental of St Gregory,Saint Gregory,DIMEV 134
Gregory,Saint Gregory,DIMEV 134
exempla,Saint Gregory,DIMEV 134
fables,John Lydgate,DIMEV 2522
fables,Aesop,DIMEV 2522
translations,John Lydgate,DIMEV 2522
translations,Aesop,DIMEV 2522
fables,Robert Henryson,DIMEV 5871
Thomas the apostle,John Mirk,DIMEV 6501
faith,John Mirk,DIMEV 6501
faith,Osbern Bokenam,DIMEV 6538
saints’ lives,Osbern Bokenam,DIMEV 6538
laments,Edward Stafford,DIMEV 301
farewells,Edward Stafford,DIMEV 301
roundels,Charles d’Orléans,DIMEV 1263
farewells,Charles d’Orléans,DIMEV 1263
farewells,Humfrey Newton,DIMEV 1270
lovers,Humfrey Newton,DIMEV 1270
summoners,Geoffrey Chaucer,DIMEV 510
farts,Geoffrey Chaucer,DIMEV 510
revenge,Geoffrey Chaucer,DIMEV 510
fasting,Augustine,DIMEV 5130
fasting,John Grimestone,DIMEV 5130
proverbs,Augustine,DIMEV 5130
proverbs,John Grimestone,DIMEV 5130
fate,John Grimestone,DIMEV 403
mortality,John Grimestone,DIMEV 403
sermons,John Grimestone,DIMEV 403
FitzSimons,John Butler Mayor of Waterford,DIMEV 4076
Simnel,John Butler Mayor of Waterford,DIMEV 4076
Ireland,John Butler Mayor of Waterford,DIMEV 4076
flatterers,John Grimestone,DIMEV 2410
translations,John Grimestone,DIMEV 2410
paraphrases,John Grimestone,DIMEV 3407
flatterers,John Grimestone,DIMEV 3407
Flemings,John Lydgate,DIMEV 4211
historical poems,John Lydgate,DIMEV 4211
fools,John Lydgate,DIMEV 5428
Fortune,John Paston III,DIMEV 903
mutability,John Paston III,DIMEV 903
Paston,John Paston III,DIMEV 903
Fortune,Geoffrey Chaucer,DIMEV 1398
mutability,Geoffrey Chaucer,DIMEV 1398
pilgrims/pilgrimage,Geoffrey Chaucer,DIMEV 2316
Fortune,Geoffrey Chaucer,DIMEV 2316
tragedy,Geoffrey Chaucer,DIMEV 2316
Fortune,William Dunbar,DIMEV 2469
steadfastness,William Dunbar,DIMEV 2469
proverbs,Impingham,DIMEV 3693
Fortune,Impingham,DIMEV 3693
women,Impingham,DIMEV 3693
Fortune,John Skelton,DIMEV 5896
four-line,John Grimestone,DIMEV 1847
translations,John Lydgate,DIMEV 6066
translations,Laurence Calot,DIMEV 6066
Henry VI,John Lydgate,DIMEV 6066
Henry VI,Laurence Calot,DIMEV 6066
France,John Lydgate,DIMEV 6066
France,Laurence Calot,DIMEV 6066
historical poems,John Lydgate,DIMEV 6066
historical poems,Laurence Calot,DIMEV 6066
Francis of Assisi,John Audelay,DIMEV 63
prayers,John Audelay,DIMEV 63
Francis of Assisi,James Ryman,DIMEV 1718
prayers,James Ryman,DIMEV 1718
Francis of Assisi,James Ryman,DIMEV 2597
hymns,James Ryman,DIMEV 2597
Francis of Assisi,James Ryman,DIMEV 3736
friars,William Dunbar,DIMEV 693
friars,John Audelay,DIMEV 1559
precepts,John Audelay,DIMEV 1559
friars,Giraldus Cambrensis,DIMEV 3178
